title,timestamp,date,time,url,description
Chicago Blackhawks Training Camp Festival,2019-09-15 11:00:00 UTC,2019-09-15,11:00 AM,/events/2019/09/15/chicago-blackhawks-training-camp-festival/,Join the Blackhawks for their first skate back at the United Center ahead of the 2019-20 NHL campaign.
Chicago Blackhawks vs. Detroit Red Wings,2019-09-18 19:30:00 UTC,2019-09-18,07:30 PM,/events/2019/09/18/chicago-blackhawks-vs-detroit-red-wings/,Chicago Blackhawks vs. Detroit Red Wings
Jonas Brothers,2019-09-19 19:30:00 UTC,2019-09-19,07:30 PM,/events/2019/09/19/jonas-brothers-happiness-begins/,"After building overwhelming anticipation, GRAMMY® nominated multiplatinum powerhouse trio–Jonas Brothers—announce the details for their 40-city Happiness Begins Tour this summer and fall with special guests Bebe Rexha and Jordan McGraw. The tour stops in Chicago on September 19, 2019!"
Chicago Blackhawks vs. Boston Bruins,2019-09-21 19:30:00 UTC,2019-09-21,07:30 PM,/events/2019/09/21/chicago-blackhawks-vs-boston-bruins/,Chicago Blackhawks vs. Boston Bruins
Chicago Blackhawks vs. Washington Capitals,2019-09-25 19:30:00 UTC,2019-09-25,07:30 PM,/events/2019/09/25/chicago-blackhawks-vs-washington-capitals/,Chicago Blackhawks vs. Washington Capitals
Chris Brown,2019-09-26 18:30:00 UTC,2019-09-26,06:30 PM,/events/2019/09/26/chris-brown-indigoat-tour/,"Global music icon, world-class entertainer and Grammy Award winner Chris Brown will be hitting the road for the epic INDIGOAT Tour with some of the hottest names in hip-hop including Tory Lanez, Ty Dolla $ign, Joyner Lucas and Yella Beezy, including a stop at the United Center on September 26."
The Black Keys,2019-09-27 19:00:00 UTC,2019-09-27,07:00 PM,/events/2019/10/27/the-black-keys/,"The Black Keys confirm their extensive, thirty-one-date arena tour of North America. The “Let’s Rock” Tour will hit nationwide cities, including Chicago on Sept. 27!"
Chance The Rapper,2019-09-28 19:00:00 UTC,2019-09-28,07:00 PM,/events/2019/09/28/chance-the-rapper-the-big-day/,"Today, Chance The Rapper announced his highly-anticipated return to the road with The Big Day, including a stop in Chicago on September 28! The tour reveal follows the long-awaited release of his debut studio album, The Big Day, out last Friday. "
Post Malone,2019-10-01 00:00:00 UTC,2019-10-01,12:00 AM,/events/2019/10/01/post-malone-runaway-tour/,"GRAMMY nominated, multi-platinum artist Post Malone revealed the Runaway Tour, his latest North American outing kicking off later this year, including a stop in Chicago on Oct. 1! Tickets go on sale at 10 AM on Friday, August 9."
The Chainsmokers,2019-10-04 19:00:00 UTC,2019-10-04,07:00 PM,/events/2019/10/04/the-chainsmokers/,"The Chainsmokers have announced a series of dates for there World War Joy Tour, set to begin in September 2019, which includes a stop in Chicago on on Oct. 4, 2019!"
Chicago Bulls vs. Milwaukee Bucks,2019-10-07 19:00:00 UTC,2019-10-07,07:00 PM,/events/2019/10/07/chicago-bulls-vs-milwaukee-bucks/,Chicago Bulls vs. Milwaukee Bucks
Chicago Bulls vs. New Orleans Pelicans,2019-10-09 19:00:00 UTC,2019-10-09,07:00 PM,/events/2019/10/09/chicago-bulls-vs-new-orleans-pelicans/,Chicago Bulls vs. New Orleans Pelicans
Chicago Blackhawks vs. San Jose Sharks,2019-10-10 19:30:00 UTC,2019-10-10,07:30 PM,/events/2019/10/10/chicago-blackhawks-vs-san-jose-sharks/,Chicago Blackhawks vs. San Jose Sharks
Hugh Jackman w/ Special Guest Keala Settle,2019-10-11 19:30:00 UTC,2019-10-11,07:30 PM,/events/2019/10/11/hugh-jackman-world-tour2/,"Academy Award®-nominated, Golden Globe- and Tony Award-winning performer, Hugh Jackman, announced that 10 dates in October have been added to his first world tour. Due to overwhelming demand, the tour will make a second stop in Chicago on October 11, 2019!"
Chicago Blackhawks vs. Winnipeg Jets,2019-10-12 18:00:00 UTC,2019-10-12,06:00 PM,/events/2019/10/12/chicago-blackhawks-vs-winnipeg-jets/,Chicago Blackhawks vs. Winnipeg Jets
Chicago Blackhawks vs. Edmonton Oilers,2019-10-14 19:30:00 UTC,2019-10-14,07:30 PM,/events/2019/10/14/chicago-blackhawks-vs-edmonton-oilers/,Chicago Blackhawks vs. Edmonton Oilers
SARA BAREILLES,2019-10-15 20:00:00 UTC,2019-10-15,08:00 PM,/events/2019/10/15/sara-bareilles-amidst-the-chaos-tour/,"Grammy, Tony and Emmy award-nominated singer, songwriter, actress, and author Sara Bareilles announced her Amidst The Chaos Tour will make a stop in Chicago on October 15 with special guest Emily King!"
Chicago Bulls vs. Atlanta Hawks,2019-10-17 19:00:00 UTC,2019-10-17,07:00 PM,/events/2019/10/17/chicago-bulls-vs-atlanta-hawks/,Chicago Bulls vs. Atlanta Hawks
Chicago Blackhawks vs. Columbus Blue Jackets,2019-10-18 19:30:00 UTC,2019-10-18,07:30 PM,/events/2019/10/18/chicago-blackhawks-vs-columbus-blue-jackets/,Chicago Blackhawks vs. Columbus Blue Jackets
Bob Seger,2019-10-19 20:00:00 UTC,2019-10-19,08:00 PM,/events/2019/10/19/bob-seger-roll-me-away/,"Bob Seger & The Silver Bullet Band have added new shows for their Roll Me Away Tour, including a stop in Chicago on Oct. 19, 2019."
Chicago Blackhawks vs. Washington Capitals,2019-10-20 18:00:00 UTC,2019-10-20,06:00 PM,/events/2019/10/20/chicago-blackhawks-vs-washington-capitals/,Chicago Blackhawks vs. Washington Capitals
Chicago Blackhawks vs. Vegas Golden Knights,2019-10-22 19:30:00 UTC,2019-10-22,07:30 PM,/events/2019/10/22/chicago-blackhawks-vs-vegas-golden-knights/,Chicago Blackhawks vs. Vegas Golden Knights
Chicago Blackhawks vs. Philadelphia Flyers,2019-10-24 19:30:00 UTC,2019-10-24,07:30 PM,/events/2019/10/24/chicago-blackhawks-vs-philadelphia-flyers/,Chicago Blackhawks vs. Philadelphia Flyers
