pickup_census_tract,community_area_name,sep_nov_2015,sep_nov_2016,growth
17031160800,16,29.0,175.0,5.0344827586206895
17031210100,21,29.0,7.0,-0.7586206896551724
17031050800,5,28.0,22.0,-0.2142857142857143
17031010501,1,28.0,4.0,-0.8571428571428572
17031241200,24,26.0,18.0,-0.3076923076923077
17031241100,24,25.0,3.0,-0.88
17031843900,42,24.0,13.0,-0.45833333333333337
17031351000,35,24.0,12.0,-0.5
17031140400,14,21.0,19.0,-0.09523809523809523
17031210900,21,20.0,3.0,-0.85
17031242600,24,20.0,9.0,-0.55
17031010400,1,19.0,6.0,-0.6842105263157895
17031283200,28,18.0,2.0,-0.8888888888888888
17031836700,23,18.0,4.0,-0.7777777777777778
17031030702,77,17.0,15.0,-0.11764705882352944
17031310200,31,17.0,14.0,-0.17647058823529416
17031010300,1,17.0,4.0,-0.7647058823529411
17031160501,16,16.0,23.0,0.4375
17031020601,2,16.0,16.0,0.0
17031140500,14,15.0,18.0,0.19999999999999996
17031040401,4,15.0,4.0,-0.7333333333333334
17031150200,15,14.0,8.0,-0.4285714285714286
17031140702,14,13.0,4.0,-0.6923076923076923
17031831800,13,13.0,5.0,-0.6153846153846154
17031140200,14,13.0,5.0,-0.6153846153846154
17031130100,13,13.0,6.0,-0.5384615384615384
17031051000,5,12.0,2.0,-0.8333333333333334
17031100600,10,12.0,2.0,-0.8333333333333334
17031282700,28,12.0,3.0,-0.75
17031140701,14,11.0,4.0,-0.6363636363636364
17031160601,16,11.0,3.0,-0.7272727272727273
17031030104,77,10.0,3.0,-0.7
17031140800,14,10.0,2.0,-0.8
17031010600,1,10.0,11.0,0.10000000000000009
17031010201,1,9.0,1.0,-0.8888888888888888
17031140601,14,7.0,7.0,0.0
17031240600,24,7.0,3.0,-0.5714285714285714
17031160602,16,7.0,8.0,0.1428571428571428
17031837100,27,7.0,20.0,1.8571428571428572
17031310300,31,6.0,2.0,-0.6666666666666667
17031020100,2,6.0,5.0,-0.16666666666666663
17031090200,9,5.0,8.0,0.6000000000000001
17031050900,5,5.0,6.0,0.19999999999999996
